website,tyre_width,tyre_aspect_ratio,tyre_rim_size,tyre_brand,tyre_patten,tyre_size,seasonality,tyre_speed,price(£)
http://www.dexel.co.uk/,205,55,16,Michelin,Primacy 3,205/55R16 91H MICH PRIMACY3 ZP,summer,H,100.05
http://www.dexel.co.uk/,205,55,16,Michelin,Primacy 3,205/55R16 91W MICH PRIMACY3 ZP,summer,W,102.44
http://www.dexel.co.uk/,205,55,16,Continental,EcoContact 6,205/55R16 94W CONTI ECOCONTACT 6 XL,summer,W,103.96
http://www.dexel.co.uk/,205,55,16,Continental,EcoContact 5,205/55R16 94H CONTI ECOCON 5 CS XL,summer,H,104.2
http://www.dexel.co.uk/,205,55,16,Goodyear,EfficientGrip,205/55R16 91V GOODYR EFFIGR ROF MOE,summer,V,104.38
http://www.dexel.co.uk/,205,55,16,Continental,eContact (Hybrid cars),205/55R16 91Q CONTI ECONTACT,summer,Q,105.09
http://www.dexel.co.uk/,205,55,16,Vredestein,Snowtrac 5,205/55R16 91H VSTEIN SNOWTRAC5,winter,H,107.14
http://www.dexel.co.uk/,205,55,16,Continental,PremiumContact,205/55R16 91V CONTI PREMIUM SSR * #,summer,V,107.9
http://www.dexel.co.uk/,205,55,16,Continental,EcoContact 6,205/55R16 91W CONT ECOCON 6 SSR*,summer,W,109.7
http://www.dexel.co.uk/,205,55,16,Michelin,Primacy 4,205/55R16 94V MICH PRIMACY4 XL VOL,summer,V,110.07
